13 25
0.16,0.26,1.22,1.96,2.7,0.11,0.56,1.0,2.56,1.79,1.01,1.0,0.74,
0.01,1.31,0.26,0.23,0.21,0.95,1.83,2.72,0.28,1.33,2.37,0.06,2.73,
1.72,0.8,2.51,1.77,1.03,2.4,2.22,2.04,1.58,1.27,0.95,1.19,2.31,
1.84,0.66,1.76,1.02,0.28,1.89,1.7,1.52,1.08,0.76,0.44,0.61,1.69,
1.97,0.51,1.01,0.27,-0.47,1.37,1.19,1.01,0.57,0.25,-0.06,0.04,1.06,
0.69,1.6,2.17,2.04,1.92,2.31,2.1,1.89,0.7,0.62,0.53,2.98,1.33,
0.99,0.82,2.25,2.12,2.0,1.76,1.55,1.34,0.93,0.85,0.76,2.02,1.62,
1.3,0.03,2.33,2.2,2.08,1.21,1.0,0.79,1.17,1.08,1.0,1.05,1.92,
2.91,2.65,1.26,1.65,2.04,1.12,0.7,0.29,2.64,2.1,1.56,1.61,0.44,
1.98,2.63,1.74,2.13,2.52,1.02,0.6,0.19,2.1,1.56,1.02,1.01,0.97,
1.05,2.61,2.22,2.61,3.0,0.91,0.5,0.08,1.56,1.02,0.48,0.41,1.5,
1.64,1.11,2.68,1.75,0.82,1.76,1.36,0.97,1.19,0.71,0.24,0.59,0.6,
1.92,1.72,3.14,2.2,1.27,1.61,1.21,0.82,2.02,1.54,1.07,1.64,1.49,
2.19,2.33,3.59,2.66,1.73,1.46,1.06,0.67,2.85,2.37,1.9,2.69,2.37,
1.83,1.48,2.09,1.12,0.16,2.58,3.86,5.15,1.26,1.78,2.31,1.03,2.26,
2.15,1.23,2.46,1.49,0.53,1.45,2.74,4.02,1.12,1.64,2.16,1.18,1.98,
2.46,0.97,2.83,1.87,0.9,0.32,1.6,2.89,0.97,1.5,2.02,1.32,1.71,
0.75,2.07,1.5,1.16,0.83,-0.51,-0.22,0.06,1.98,1.7,1.43,0.13,2.99,
0.95,2.06,1.34,1.0,0.66,0.37,0.66,0.94,1.33,1.06,0.78,0.85,2.64,
1.16,2.06,1.17,0.84,0.5,1.25,1.54,1.82,0.69,0.42,0.14,1.57,2.29,
2.78,2.52,0.91,1.16,1.4,0.85,1.44,2.03,1.63,1.11,0.59,2.82,0.2,
2.75,1.37,1.85,2.09,2.34,1.24,1.83,2.42,1.91,1.39,0.87,1.84,0.38,
2.73,0.22,2.78,3.02,3.27,1.64,2.23,2.82,2.19,1.67,1.15,0.87,0.56,
0.34,2.01,2.47,1.28,0.08,1.08,0.88,0.67,0.67,0.99,1.3,1.68,1.17,
2.95,1.49,0.13,1.16,2.19,2.74,2.06,1.38,2.59,1.32,0.05,1.56,0.87,
