36
5.6793, 2.23193, 1.78944
5.25059, 2.76778, 2.58369
4.6945, 3.39094, 4.35399
4.47627, 4.44358, 5.50932
4.2894, 5.34497, 6.49865
4.28778, 4.97565, 9.24042
4.65039, 4.44358, 9.52996
5.02486, 3.89411, 9.82896
7.11991, 2.95961, 10.7268
8.17417, 2.71375, 10.7268
8.62885, 2.60772, 10.7268
11.7924, 3.59069, 9.03263
12.5283, 3.59069, 9.03263
13.2795, 3.59069, 9.03263
16.4469, 2.52789, 11.0325
17.1872, 2.79255, 10.9863
18.0666, 3.10694, 10.9313
21.64, 4.35489, 8.33003
21.4928, 4.5232, 7.64627
21.3389, 4.69908, 6.93176
17.0131, 5.80637, 6.47183
17.0131, 5.80637, 5.88922
17.0131, 5.80637, 5.26265
19.9133, 4.93579, 3.35384
19.8782, 4.5232, 2.81834
19.8342, 4.00655, 2.1478
16.5759, 2.57069, 1.09774
15.7151, 2.79255, 1.34622
14.6488, 3.06736, 1.65401
13.623, 4.73038, 4.13217
13.1349, 4.46342, 4.13217
12.4314, 4.07868, 4.13217
11.1601, 3.69867, 1.52404
10.3806, 3.81708, 1.42537
8.64377, 4.0809, 1.20552
5.98876, 1.97801, 1.08323
