13 25
0 0.16 0 0 0.26 1 0 1.22 2 0 1.96 3 0 2.7 4 0 0.11 5 0 0.56 6 0 1.0 7 0 2.56 8 0 1.79 9 0 1.01 10 0 1.0 11 0 0.74 12 
1 0.01 0 1 1.31 1 1 0.26 2 1 0.23 3 1 0.21 4 1 0.95 5 1 1.83 6 1 2.72 7 1 0.28 8 1 1.33 9 1 2.37 10 1 0.06 11 1 2.73 12 
2 1.72 0 2 0.8 1 2 2.51 2 2 1.77 3 2 1.03 4 2 2.4 5 2 2.12 6 2 1.83 7 2 1.58 8 2 1.27 9 2 0.95 10 2 1.19 11 2 2.31 12 
3 1.84 0 3 0.66 1 3 1.76 2 3 1.19 3 3 0.62 4 3 1.89 5 3 1.65 6 3 1.42 7 3 1.07 8 3 1.25 9 3 1.42 10 3 0.61 11 3 1.69 12 
4 1.97 0 4 0.51 1 4 1.01 2 4 0.61 3 4 0.22 4 4 1.37 5 4 1.19 6 4 1.01 7 4 0.57 8 4 1.22 9 4 1.88 10 4 0.04 11 4 1.06 12 
5 0.69 0 5 1.6 1 5 2.17 2 5 2.04 3 5 1.92 4 5 2.98 5 5 2.44 6 5 1.89 7 5 0.7 8 5 0.61 9 5 0.53 10 5 2.98 11 5 1.33 12 
6 0.99 0 6 0.82 1 6 1.89 2 6 1.94 3 6 2.0 4 6 2.09 5 6 1.71 6 6 1.34 7 6 1.06 8 6 0.92 9 6 0.77 10 6 2.02 11 6 1.62 12 
7 1.3 0 7 0.03 1 7 1.61 2 7 1.85 3 7 2.08 4 7 1.21 5 7 1.0 6 7 0.79 7 7 1.42 8 7 1.21 9 7 1.0 10 7 1.05 11 7 1.92 12 
8 2.91 0 8 2.65 1 8 1.26 2 8 1.65 3 8 2.04 4 8 1.12 5 8 0.68 6 8 0.24 7 8 2.64 8 8 2.1 9 8 1.56 10 8 1.61 11 8 0.44 12 
9 1.98 0 9 2.63 1 9 1.74 2 9 1.88 3 9 2.02 4 9 1.02 5 9 0.59 6 9 0.16 7 9 2.1 8 9 1.83 9 9 1.55 10 9 1.01 11 9 0.97 12 
10 1.05 0 10 2.61 1 10 2.22 2 10 2.12 3 10 2.01 4 10 0.91 5 10 0.49 6 10 0.08 7 10 1.56 8 10 1.55 9 10 1.54 10 10 0.41 11 10 1.5 12 
11 1.64 0 11 1.11 1 11 2.68 2 11 1.75 3 11 0.82 4 11 1.52 5 11 1.25 6 11 0.97 7 11 1.19 8 11 0.71 9 11 0.24 10 11 0.59 11 11 0.6 12 
12 1.92 0 12 1.72 1 12 1.73 2 12 1.5 3 12 1.27 4 12 1.49 5 12 1.16 6 12 0.82 7 12 1.34 8 12 1.21 9 12 1.07 10 12 1.64 11 12 1.49 12 
13 2.19 0 13 2.33 1 13 0.77 2 13 1.25 3 13 1.73 4 13 1.46 5 13 1.06 6 13 0.67 7 13 1.5 8 13 1.7 9 13 1.9 10 13 2.69 11 13 2.37 12 
14 1.83 0 14 1.48 1 14 2.09 2 14 1.12 3 14 0.16 4 14 2.58 5 14 2.29 6 14 2.01 7 14 1.26 8 14 1.79 9 14 2.31 10 14 1.03 11 14 2.26 12 
15 2.15 0 15 1.23 1 15 2.46 2 15 1.56 3 15 0.66 4 15 1.45 5 15 1.95 6 15 2.45 7 15 1.11 8 15 1.33 9 15 1.56 10 15 1.18 11 15 1.98 12 
16 2.46 0 16 0.97 1 16 2.83 2 16 2.0 3 16 1.17 4 16 0.32 5 16 1.6 6 16 2.89 7 16 0.97 8 16 0.89 9 16 0.8 10 16 1.32 11 16 1.71 12 
17 0.75 0 17 2.07 1 17 1.5 2 17 1.17 3 17 0.83 4 17 2.86 5 17 1.46 6 17 0.06 7 17 1.98 8 17 1.71 9 17 1.43 10 17 0.13 11 17 2.99 12 
18 0.95 0 18 2.06 1 18 0.84 2 18 0.76 3 18 0.67 4 18 2.05 5 18 1.49 6 18 0.94 7 18 1.73 8 18 1.25 9 18 0.78 10 18 0.85 11 18 2.64 12 
19 1.16 0 19 2.06 1 19 0.19 2 19 0.34 3 19 0.5 4 19 1.25 5 19 1.54 6 19 1.82 7 19 1.49 8 19 0.81 9 19 0.14 10 19 1.57 11 19 2.29 12 
20 2.78 0 20 2.52 1 20 0.91 2 20 1.16 3 20 1.4 4 20 0.85 5 20 1.09 6 20 1.33 7 20 1.63 8 20 1.11 9 20 0.59 10 20 2.82 11 20 0.2 12 
21 2.75 0 21 1.37 1 21 1.84 2 21 1.77 3 21 1.69 4 21 1.24 5 21 1.66 6 21 2.08 7 21 1.91 8 21 1.43 9 21 0.95 10 21 1.84 11 21 0.38 12 
22 2.73 0 22 0.22 1 22 2.78 2 22 2.38 3 22 1.97 4 22 1.64 5 22 2.23 6 22 2.82 7 22 2.19 8 22 1.75 9 22 1.31 10 22 0.87 11 22 0.56 12 
23 0.34 0 23 2.01 1 23 2.47 2 23 1.28 3 23 0.08 4 23 1.08 5 23 0.88 6 23 0.67 7 23 0.67 8 23 0.99 9 23 1.3 10 23 1.68 11 23 1.17 12 
24 2.95 0 24 1.49 1 24 0.13 2 24 1.16 3 24 2.19 4 24 2.74 5 24 2.06 6 24 1.38 7 24 2.59 8 24 1.32 9 24 0.05 10 24 1.56 11 24 0.87 12 
